qpoint_index branchID frequency groupVel_x groupVel_y groupVel_z DOS gruneisen_param
Max bandID: 6
Max qpoint index: 1728
33 5 23.1213876543 -3.4748633 -3.4748633 4.3393507 0.0000000000 1.2474721377
33 6 25.7778064989 -15.4007871 -15.4007871 27.1540174 0.0000000000 1.0970920872
34 1 7.6184699960 55.9362735 55.9362735 6.9117572 0.0000000000 0.0524549521
34 2 9.9675813923 79.1113355 79.1113355 74.8874121 0.0000000000 0.5874032430
34 3 13.5272053603 70.8371844 70.8371844 -90.8151295 0.0000000000 1.0115153322
34 4 22.6436644746 -9.6451198 -9.6451198 -3.9673321 0.0000000000 1.2528415150
34 5 23.1643881824 -0.1496165 -0.1496165 4.1814517 0.0000000000 1.2480489596
34 6 26.4748518717 -31.1101905 -31.1101905 14.0699758 0.0000000000 1.0591832589
35 1 6.3509206562 71.6350710 71.6350710 0.0000000 0.0000000000 0.0236903734
35 2 8.6661359198 89.9779995 89.9779995 0.0000000 0.0000000000 0.6177934650
35 3 11.4713584389 82.0134073 82.0134073 0.0000000 0.0000000000 1.0199451482
35 4 22.8487153059 -12.3410519 -12.3410519 0.0000000 0.0000000000 1.2067429915
35 5 23.3324588438 -11.2834814 -11.2834814 0.0000000 0.0000000000 1.2098466480
35 6 27.2926373604 -41.8653396 -41.8653396 0.0000000 0.0000000000 1.0455250001
36 1 4.9936053478 73.7959752 73.7959752 34.1587024 0.0000000000 0.0735263889
36 2 6.4567386442 99.8503499 99.8503499 -35.1510291 0.0000000000 0.4479534679
36 3 9.9164606591 119.2500653 119.2500653 85.6595242 0.0000000000 1.0801025619
36 4 23.0712243843 -11.2553831 -11.2553831 -3.7289236 0.0000000000 1.1688004026
36 5 23.3858189727 -6.2773632 -6.2773632 -30.4810204 0.0000000000 1.1653894312
36 6 28.0806895740 -15.9518150 -15.9518150 24.5450718 0.0000000000 1.0355059723
37 1 5.9630002099 41.9565803 41.9565803 41.9565803 0.0000000000 0.0052893749
37 2 6.1974616714 38.3881133 38.3881133 38.3881133 0.0000000000 0.2418179803
37 3 12.1065441771 111.6765156 111.6765156 111.6765156 0.0000000000 1.0703667499
37 4 22.9115513661 -5.7496760 -5.7496760 -5.7496760 0.0000000000 1.1911663440
37 5 22.9726211036 -6.2601139 -6.2601139 -6.2601139 0.0000000000 1.1907914319
37 6 28.0380981514 -43.1079779 -43.1079779 -43.1079779 0.0000000000 1.0370820524
38 1 6.1233111282 21.6829696 21.6829696 122.0585742 0.0000000000 0.1919791471
38 2 6.4193555732 12.1602058 12.1602058 94.9336145 0.0000000000 0.4503166266
38 3 10.9830967021 103.1916710 103.1916710 116.6039109 0.0000000000 1.0157249112
38 4 23.0082775837 -6.0859902 -6.0859902 -9.5168131 0.0000000000 1.1955940844
38 5 23.2038577079 -14.6211368 -14.6211368 -0.8394130 0.0000000000 1.1954358950
38 6 28.0624105452 -13.8860576 -13.8860576 -46.5830108 0.0000000000 1.0425447010
39 1 7.3032063312 6.7520417 6.7520417 109.9802251 0.0000000000 0.3974367422
39 2 7.3296930540 -0.9769605 -0.9769605 121.0133342 0.0000000000 0.4762035646
39 3 10.6486886026 52.1338437 52.1338437 148.6627542 0.0000000000 0.9353869194
39 4 22.9687630754 -1.1889397 -1.1889397 -12.9067589 0.0000000000 1.2236163036
39 5 23.1385842844 8.4492581 8.4492581 -18.3696896 0.0000000000 1.2233972171
39 6 28.0518447995 -22.5097922 -22.5097922 -34.6281357 0.0000000000 1.0435851439
40 1 8.2015570034 0.0000000 0.0000000 91.1777770 0.0000000000 0.3878045321
40 2 8.3694798004 0.0000000 0.0000000 86.4269390 0.0000000000 0.4084814637
40 3 11.9156344687 0.0000000 0.0000000 174.0443694 0.0000000000 0.9012024954
40 4 22.8293696255 0.0000000 0.0000000 -7.0832506 0.0000000000 1.2609885885
40 5 22.8892152408 0.0000000 0.0000000 -8.1048389 0.0000000000 1.2590119087
40 6 27.8517591505 0.0000000 0.0000000 -61.7230566 0.0000000000 1.0458847662
41 1 9.0742956882 3.3616849 3.3616849 74.5657744 0.0000000000 0.3173803818
41 2 9.4704201206 -29.8782385 -29.8782385 80.1709865 0.0000000000 0.3785031166
41 3 13.6714338380 -6.7797789 -6.7797789 145.9338367 0.0000000000 0.8910402109
41 4 22.8465329436 -3.4383700 -3.4383700 -2.9294683 0.0000000000 1.2972608674
41 5 22.9048217156 -6.5705940 -6.5705940 -4.6228488 0.0000000000 1.2923951143
41 6 26.9294331533 20.2000762 20.2000762 -63.6019819 0.0000000000 1.0574023605
42 1 9.6220107723 8.9330676 8.9330676 57.9782594 0.0000000000 0.2463543623
42 2 10.9470391799 -28.7673931 -28.7673931 80.3395348 0.0000000000 0.4574479133
42 3 15.1247954261 -12.9836878 -12.9836878 101.0301201 0.0000000000 0.8956858152
