kpoint_index bandID energy groupVel_x groupVel_y groupVel_z DOS fermiEnergy
Max kpoint index: 216
Max bandID: 3
57 2 0.376931 0.000000 -0.355750 -0.607013 2.000000000000000 0.376931
57 3 0.500703 -0.000000 -0.824437 0.173766 3.000000000000000 0.500703
58 1 0.179809 0.121331 -0.603767 -0.121331 1.000000000000000 0.179809
58 2 0.358815 0.425657 -0.470808 -0.425657 2.000000000000000 0.358815
58 3 0.474162 -0.147007 -0.157874 0.147007 3.000000000000000 0.474162
59 1 0.145204 -0.246962 0.000000 0.000000 1.000000000000000 0.145204
59 2 0.346722 0.533964 -0.000000 -0.000001 2.000000000000000 0.346722
59 3 0.355598 0.351667 0.000000 0.000001 3.000000000000000 0.355598
60 1 0.138105 -0.000000 -0.259165 0.259165 1.000000000000000 0.138105
60 2 0.333058 0.000000 0.508277 -0.508277 2.000000000000000 0.333058
60 3 0.448761 0.000000 0.530871 -0.530871 3.000000000000000 0.448761
61 1 0.172334 0.458315 0.458315 0.758135 1.000000000000000 0.172334
61 2 0.444291 0.457423 0.457423 -0.933736 2.000000000000000 0.444291
61 3 0.593929 0.250358 0.250359 -0.027457 3.000000000000000 0.593929
62 1 0.109051 0.150024 0.476524 0.476524 1.000000000000000 0.109051
62 2 0.476043 0.975327 -0.267442 -0.267442 2.000000000000000 0.476043
62 3 0.549760 0.233481 -0.211032 -0.211032 3.000000000000000 0.549760
63 1 0.138105 -0.259165 0.259165 0.000000 1.000000000000000 0.138105
63 2 0.333058 0.508277 -0.508277 0.000000 2.000000000000000 0.333058
63 3 0.448761 0.530871 -0.530871 0.000000 3.000000000000000 0.448761
64 1 0.145204 -0.000000 0.000000 0.246962 1.000000000000000 0.145204
64 2 0.346722 0.000001 -0.000000 -0.533964 2.000000000000000 0.346722
64 3 0.355598 -0.000001 0.000000 -0.351667 3.000000000000000 0.355598
65 1 0.179809 0.121331 0.603767 -0.121331 1.000000000000000 0.179809
65 2 0.358815 0.425657 0.470808 -0.425657 2.000000000000000 0.358815
65 3 0.474162 -0.147007 0.157874 0.147007 3.000000000000000 0.474162
66 1 0.246441 0.429876 0.503252 0.000000 1.000000000000000 0.246441
66 2 0.376931 0.607014 0.355750 0.000000 2.000000000000000 0.376931
66 3 0.500703 -0.173766 0.824437 0.000000 3.000000000000000 0.500703
67 1 0.396379 0.706518 0.706518 -0.000000 1.000000000000000 0.396379
67 2 0.499625 0.557896 0.557896 -0.000000 2.000000000000000 0.499625
67 3 0.651064 0.157960 0.157960 -0.000000 3.000000000000000 0.651064
68 1 0.332032 0.643608 0.713038 0.713038 1.000000000000000 0.332032
68 2 0.547572 0.782100 -0.108670 -0.108670 2.000000000000000 0.547572
68 3 0.550560 0.418346 -0.108696 -0.108696 3.000000000000000 0.550560
69 1 0.246441 0.503252 -0.000000 0.429876 1.000000000000000 0.246441
69 2 0.376931 0.355750 -0.000000 0.607014 2.000000000000000 0.376931
69 3 0.500703 0.824437 -0.000000 -0.173766 3.000000000000000 0.500703
70 1 0.138105 -0.259165 -0.259165 -0.000000 1.000000000000000 0.138105
70 2 0.333058 0.508277 0.508277 0.000000 2.000000000000000 0.333058
70 3 0.448761 0.530871 0.530871 -0.000000 3.000000000000000 0.448761
71 1 0.246441 -0.000000 0.503252 -0.429876 1.000000000000000 0.246441
71 2 0.376931 -0.000000 0.355750 -0.607014 2.000000000000000 0.376931
71 3 0.500703 -0.000000 0.824437 0.173766 3.000000000000000 0.500703
72 1 0.332032 0.713038 0.643608 -0.713038 1.000000000000000 0.332032
72 2 0.547572 -0.108670 0.782100 0.108670 2.000000000000000 0.547572
72 3 0.550560 -0.108696 0.418346 0.108696 3.000000000000000 0.550560
73 1 0.228116 0.702358 0.702358 -0.702358 1.000000000000000 0.228116
73 2 0.616683 -0.080510 -0.080510 -0.240826 2.000000000000000 0.616683
73 3 0.616683 0.240826 0.240825 0.080510 3.000000000000000 0.616683
74 1 0.332032 0.643608 0.713038 -0.713038 1.000000000000000 0.332032
74 2 0.547572 0.782100 -0.108670 0.108669 2.000000000000000 0.547572
74 3 0.550560 0.418346 -0.108695 0.108696 3.000000000000000 0.550560
75 1 0.313491 1.050227 -0.000000 -0.000000 1.000000000000000 0.313491
